agent,ctrl_index,x,y
1,1,0.0,0.0
1,2,50.0,-86.6025403784439
1,3,150.0,-86.6025403784439
1,4,250.0,-86.6025403784439
1,5,350.0,-86.6025403784439
1,6,450.0,-86.6025403784439
1,7,550.0,-86.6025403784439
1,8,650.0,-86.6025403784439
1,9,700.0,-173.2050807568877
1,10,800.0,-173.2050807568877
1,11,900.0,-173.2050807568877
1,12,1000.0,-173.2050807568877
1,13,1050.0,-259.8076211353316
1,14,1150.0,-259.8076211353316
1,15,1250.0,-259.8076211353316
1,16,1350.0,-259.8076211353316
1,17,1450.0,-259.8076211353316
1,18,1550.0,-259.8076211353316
1,19,1600.0,-173.2050807568877
1,20,1700.0,-173.2050807568877
1,21,1750.0,-259.8076211353316
2,1,0.0,0.0
2,2,50.0,86.6025403784439
2,3,100.0,173.2050807568878
2,4,200.0,173.2050807568878
2,5,300.0,173.2050807568878
2,6,400.0,173.2050807568878
2,7,500.0,173.2050807568878
2,8,550.0,86.6025403784439
2,9,650.0,86.6025403784439
2,10,750.0,86.6025403784439
2,11,850.0,86.6025403784439
2,12,950.0,86.6025403784439
2,13,1000.0,173.2050807568878
2,14,1100.0,173.2050807568878
2,15,1200.0,173.2050807568878
2,16,1300.0,173.2050807568878
2,17,1400.0,173.2050807568878
2,18,1500.0,173.2050807568878
2,19,1550.0,86.6025403784439
2,20,1650.0,86.6025403784439
2,21,1700.0,173.205
